Date,Time,Order Number,Item Description,Quantity Sold,Sold Price
2026-01-01,14:20:55,11-14043-08565,NICK KURTZ 2025 Topps Update Series RC Rookie Card #US201 A's Athletics,1,2.99
2026-01-01,17:17:46,04-14053-53793,Mega Gengar Ex 056/094 Pokemon TCG Phantasmal Flames NM Double Rare,1,3.99
2026-01-02,6:47:39,16-14038-59218,[Bundle] Dart + Shedeur Reactive Purple / Cam Red Wave / Jaydon Purple Scope,1,47
2026-01-02,20:48:08,03-14059-85686,LIVVY DUNNE Insert 2025 Topps Allen & Ginter #225 PIRATES HAT! SPECIAL CELEBRITY,1,2.99
2026-01-03,23:01:09,01-14067-42547,JUMBO / Oversized Pokemon TCG Black Star Promo Card Lot -Pick / Choose Your Card,1,4.99
2026-01-04,5:46:15,04-14063-55410,Ethan's Magcargo 036/182 Destined Rivals Cosmos Holo Blister Exclusive NM,1,5.49
2026-01-04,5:46:16,04-14063-55410,Arven's Greedent 159/182 Destined Rivals Cosmos Holo Blister Exclusive NM,1,3.99
2026-01-07,20:00:14,,Jaime Jaquez Jr 161 2025-26 Topps Chrome Yellow Basketball Refractor /275 Insert,1,3
2026-01-09,19:00:16,,2025-26 Topps Chrome Bronny James Jr. #182 Los Angeles Lakers Base NM Near Mint,1,0.99
2026-01-09,19:32:37,14-14074-65327,2025-26 Topps Chrome Basketball [Updated Weekly] - Pick Your Card / Set Filler,1,0.99
2026-01-09,20:42:53,07-14084-74367,Cooper Flagg #251 2025-26 Topps Chrome Basketball Rookie Mavericks RC Base,1,19.99
2026-01-11,5:36:02,04-14093-81652,Pokemon Rabsca ex 025/182 Destined Rivals Double Rare Holo NM DRI EN,1,1.5
2026-01-13,18:34:31,24-14092-74583,Drake Maye ROOKIE CARD rare insert Gridiron Ambassadors 2024 Topps Signatue GA-3,1,5.99
2026-01-18,17:27:59,25-14097-89918,Mega Kangaskhan EX 025 Black Star Promo - Mega Evolution NM Pokemon TCG,1,3
2026-01-18,20:54:54,03-14129-56703,Emcee's Hype - 220/182 - Pokemon Destined Rivals Ultra Rare NM DRI EN,1,3.25
2026-01-19,1:31:22,14-14114-60639,Donovan Clingan Tectonic Prizm ROOKIE CARD 2024 Select RC #270 Trail Blazers,1,1.79
2026-01-20,16:05:13,,2022-23 Panini Chronicles - Dynagon Keegan Murray Rookie Card #521 Silver (RC),1,0.49
2026-01-21,9:06:16,13-14126-94291,Colston Loveland #275 2025 Panini Mosaic Rookie Green Mosaic Prizm (RC),1,1.79
2026-01-21,16:54:44,18-14121-52680,Chaos Dragon Levianeer STARLIGHT RARE 1st Edition MP25-EN035 Yugioh!,1,2.49
2026-01-21,20:06:54,14-14127-73416,Jack Lambert 2022 Panini Prizm #253 Steelers Legend,1,1.69
2026-01-22,8:16:28,03-14145-01657,2023 Topps Shohei Ohtani All Aces Diamond CRISP #AA-11 Angels,1,129
2026-01-23,14:16:01,18-14129-62006,2025 Score ISAIAH LIKELY 269 Lava Refractor /799 Baltimore Ravens Numbered SP,1,1.25
2026-01-24,11:58:56,18-14133-09741,2025 Panini Donruss Rated Rookie Nick Emmanwori - Green Velocity Prizm Card 348,1,3.99
2026-01-24,13:14:44,09-14145-93196,Kristaps Porzingis Brown /299 RARE Parallel 2024-25 Panini Prizm Monopoly #18,1,1.25
2026-01-25,18:15:56,,Pokemon Mega Charizard X ex Ultra Premium Collection Box Sealed New UPC,1,132.5
2026-01-28,7:46:39,25-14139-89326,Mega Charizard UPC Game Mat Plus More! Phantasmal Flames UPC Accessories!!,1,16.99
2026-01-28,20:18:45,06-14169-90148,Anthony Richardson Nucleus PRINT 2024 Topps Signature Class Veteran Chrome BCV22,1,1.99
2026-01-29,6:08:06,11-14163-86609,DRAKE MAYE - [Presale] 2025 Panini Instant NFL #431 AFC CHAMPIONSHIP GAME,1,20.97
2026-01-29,19:07:29,14-14162-68581,DRAKE MAYE - [Presale] 2025 Panini Instant NFL #431 AFC CHAMPIONSHIP GAME,1,6.99
2026-01-29,19:11:04,18-14157-05551,DRAKE MAYE - [Presale] 2025 Panini Instant NFL #431 AFC CHAMPIONSHIP GAME,1,6.99
2026-01-29,21:01:09,07-14172-99062,DRAKE MAYE - [Presale] 2025 Panini Instant NFL #431 AFC CHAMPIONSHIP GAME,1,6.99
2026-01-29,22:14:12,22-14151-72262,DRAKE MAYE - [Presale] 2025 Panini Instant NFL #431 AFC CHAMPIONSHIP GAME,1,6.5
